                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.73208,                 2.5899,                0.21808,                0.61135,                 1.0845,                0.95599,                0.98773,                0.98152,                0.84207,                0.82322,                0.90909,                0.85382,                0.42139,                 0.5499,                 2.5518,                 0.0743,                0.61915,                0.94159,              0.0015776,              0.0015776,              0.0015776
                     34,                0.79576,                 2.6532,                0.22829,                0.63955,                 1.1368,                0.90479,                0.95455,                0.94803,                0.76332,                0.94809,                      1,                0.99326,                0.53504,                0.69584,                 2.3246,                 0.1235,                0.51381,                 1.0077,              0.0015644,              0.0015644,              0.0015644
                     35,                0.71634,                 2.7912,                0.23496,                0.61461,                 1.0897,                0.94933,                0.95455,                0.94317,                0.77811,                0.99465,                      1,                  0.995,                 0.4404,                0.71265,                 2.7573,                0.28027,                0.47646,                 1.0761,              0.0015512,              0.0015512,              0.0015512
                     36,                0.71265,                  3.579,                0.23221,                0.58759,                  1.105,                0.95017,                0.95455,                0.92476,                 0.7262,                0.95017,                0.95455,                0.92476,                  0.503,                0.76635,                 2.2183,                0.14228,                0.47623,                 1.1559,               0.001538,               0.001538,               0.001538
                     37,                 0.7607,                 3.2622,                0.22877,                0.58407,                 1.1179,                0.94041,                0.95455,                0.91943,                0.74121,                0.94041,                0.95455,                0.91943,                0.54908,                0.75388,                 1.9909,                0.11596,                0.44363,                 1.1311,              0.0015248,              0.0015248,              0.0015248
                     38,                0.72234,                 2.8046,                0.20954,                0.56407,                 1.0942,                0.89327,                0.90909,                0.91374,                0.81977,                0.94169,                0.95455,                0.98611,                0.50289,                0.58652,                 2.1846,                0.10771,                 0.4153,                 1.0074,              0.0015116,              0.0015116,              0.0015116
                     39,                 0.7316,                 2.9127,                0.19166,                 0.5475,                 1.0963,                0.95428,                0.94891,                0.93596,                0.83148,                      1,                 0.9936,                  0.995,                0.52323,                  0.582,                 2.2153,                0.09446,                0.40605,                0.98616,              0.0014984,              0.0014984,              0.0014984
                     40,                0.72557,                 3.0133,                0.20719,                0.53894,                 1.0883,                0.99659,                      1,                  0.995,                0.84236,                0.95095,                0.95455,                0.96258,                0.36567,                0.59093,                 2.6888,                0.05638,                0.37901,                0.96722,              0.0014852,              0.0014852,              0.0014852
                     41,                0.68774,                 2.9694,                0.22292,                0.54477,                 1.0673,                0.99618,                      1,                  0.995,                0.86064,                0.91259,                0.94933,                0.93604,                0.31373,                0.58354,                 2.9989,                0.05374,                0.36123,                0.96037,               0.001472,               0.001472,               0.001472
                     42,                0.69084,                 3.2768,                0.22072,                0.52926,                 1.0721,                 0.9498,                0.95455,                0.95026,                0.84352,                0.99503,                      1,                  0.995,                0.62064,                0.60535,                 2.0829,                0.06337,                0.42031,                0.97555,              0.0014588,              0.0014588,              0.0014588
                     43,                0.61147,                 2.7877,                0.20718,                0.49842,                 1.0017,                0.95095,                0.95455,                0.95014,                0.85481,                0.99624,                      1,                  0.995,                0.65158,                0.60022,                 1.9281,                0.06542,                 0.3722,                0.96127,              0.0014456,              0.0014456,              0.0014456
                     44,                0.67761,                 2.6156,                0.23379,                0.49519,                 1.0574,                0.95137,                0.95455,                0.95032,                0.82234,                0.99668,                      1,                  0.995,                0.64559,                0.56637,                 1.9328,                0.06585,                0.38586,                0.92056,              0.0014324,              0.0014324,              0.0014324
                     45,                0.64889,                 2.4673,                0.18904,                0.49094,                 1.0545,                0.95323,                      1,                0.99109,                0.84861,                0.95323,                      1,                0.99109,                0.67886,                 0.5247,                 1.7775,                0.05641,                0.37696,                0.88883,              0.0014192,              0.0014192,              0.0014192
                     46,                0.63822,                 2.4528,                0.22309,                0.50906,                 1.0634,                0.95353,                      1,                0.99109,                0.86997,                0.91018,                0.95455,                0.93417,                 0.5737,                0.49787,                 2.0362,                  0.067,                0.36275,                0.88203,               0.001406,               0.001406,               0.001406
                     47,                0.62284,                 2.3284,                0.21815,                0.49399,                 1.0395,                 0.9531,                      1,                0.99109,                0.86881,                 0.9531,                      1,                0.99109,                  0.619,                0.48143,                 1.9165,                0.08343,                0.36441,                0.87969,              0.0013928,              0.0013928,              0.0013928
                     48,                0.62188,                 2.6146,                0.20314,                0.50028,                 1.0469,                0.95254,                      1,                0.99109,                0.86666,                0.91025,                0.95455,                0.94216,                  0.532,                0.48754,                 2.1363,                0.09231,                0.39931,                0.87581,              0.0013796,              0.0013796,              0.0013796
