                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.52445,                 2.8001,                 0.2475,                0.45209,                0.95371,                0.82552,                0.96552,                0.95736,                0.84462,                0.77082,                0.91379,                0.88476,                0.31421,                0.54232,                 3.4038,                0.20326,                0.47716,                0.85371,              0.0010628,              0.0010628,              0.0010628
                     73,                0.50461,                 2.9485,                0.24466,                0.42539,                0.97377,                0.85779,                  0.936,                0.95148,                0.83411,                0.79495,                0.86899,                0.83572,                0.29788,                 0.5787,                 3.4371,                0.26825,                 0.4875,                0.89937,              0.0010496,              0.0010496,              0.0010496
                     74,                0.52579,                 2.6492,                0.23096,                0.42664,                0.96661,                0.86131,                0.94828,                0.96198,                0.85332,                0.77661,                0.86207,                0.83976,                0.30503,                0.53505,                  3.423,                0.35461,                0.47827,                0.87495,              0.0010364,              0.0010364,              0.0010364
                     75,                0.51167,                 2.6469,                0.24127,                0.41996,                0.95004,                 0.8552,                0.91649,                0.94147,                0.82153,                0.75873,                0.81333,                 0.8014,                0.31645,                 0.5678,                 3.3868,                0.37791,                0.52619,                0.89574,              0.0010232,              0.0010232,              0.0010232
                     76,                0.49616,                 2.9421,                0.24504,                0.41436,                0.95139,                0.79117,                0.98276,                0.95036,                 0.8339,                0.73489,                0.91379,                0.84321,                 0.3096,                0.55022,                 3.3725,                0.35739,                0.57824,                0.86978,                0.00101,                0.00101,                0.00101
                     77,                0.50853,                 2.6871,                0.23503,                0.41892,                 0.9534,                0.79385,                0.92956,                0.91913,                0.81809,                0.73507,                0.86109,                0.79887,                0.26854,                0.51856,                 3.4297,                0.34774,                0.57612,                0.84202,              0.0009968,              0.0009968,              0.0009968
                     78,                0.51954,                 2.8191,                0.22465,                0.43306,                0.97053,                0.80525,                0.99807,                 0.9584,                0.87421,                0.73586,                0.91265,                0.84624,                0.33103,                0.48654,                 3.3555,                0.31327,                0.46789,                0.80396,              0.0009836,              0.0009836,              0.0009836
                     79,                0.50598,                  2.658,                0.23473,                0.40382,                0.95382,                0.82327,                      1,                0.96089,                0.86416,                0.76402,                0.93103,                0.85936,                0.35485,                0.53771,                 3.3178,                0.24225,                0.47917,                0.84883,              0.0009704,              0.0009704,              0.0009704
                     80,                0.51394,                  2.861,                0.23525,                0.41298,                0.96402,                0.87159,                0.96552,                0.96377,                0.85924,                0.79307,                0.87931,                 0.8334,                0.32453,                0.52661,                 3.3843,                0.19755,                0.48842,                0.85397,              0.0009572,              0.0009572,              0.0009572
                     81,                0.50285,                 2.5638,                 0.2356,                0.41546,                0.96534,                0.92288,                0.86207,                0.95294,                0.85535,                0.82971,                0.77586,                0.82371,                0.31782,                0.53736,                 3.3494,                0.20706,                0.49389,                0.85289,               0.000944,               0.000944,               0.000944
                     82,                0.52222,                 2.8783,                0.23702,                0.43417,                0.96697,                 0.9201,                0.86207,                0.95721,                0.84147,                0.79317,                0.85959,                0.85663,                0.32852,                0.54784,                 3.3064,                0.30322,                0.48549,                0.85879,              0.0009308,              0.0009308,              0.0009308
                     83,                0.49857,                 2.5769,                0.22786,                0.41753,                0.96823,                0.85151,                0.91379,                0.94969,                0.84298,                0.77076,                0.82759,                0.81714,                0.31458,                0.50993,                 3.3152,                0.26772,                0.52161,                 0.8383,              0.0009176,              0.0009176,              0.0009176
                     84,                0.48304,                 2.7022,                0.22687,                  0.408,                 0.9594,                0.83773,                0.94828,                0.95658,                0.83889,                0.71441,                0.81034,                0.76212,                0.29467,                0.52527,                 3.3362,                 0.3464,                0.50438,                0.86057,              0.0009044,              0.0009044,              0.0009044
                     85,                0.50551,                 2.8414,                0.22996,                 0.4224,                0.95933,                0.85071,                0.98248,                0.95841,                0.83548,                0.79083,                0.91379,                 0.8492,                0.31766,                0.56202,                 3.3077,                0.32741,                0.44838,                0.89305,              0.0008912,              0.0008912,              0.0008912
                     86,                0.50962,                 2.5901,                0.22657,                0.41704,                0.96432,                0.93889,                0.87931,                0.94739,                0.83534,                0.86496,                0.81034,                0.83558,                0.32878,                0.53049,                 3.3108,                0.30031,                0.48749,                0.86541,               0.000878,               0.000878,               0.000878
                     87,                0.47424,                 2.7786,                0.23999,                0.38919,                0.95306,                0.85896,                0.94509,                0.94012,                0.84184,                0.76509,                0.84235,                0.78663,                0.27523,                0.51459,                 3.4434,                 0.2867,                0.55154,                0.86158,              0.0008648,              0.0008648,              0.0008648
                     88,                0.47218,                 2.5148,                 0.2111,                0.38581,                0.94593,                0.85696,                0.92963,                0.95969,                 0.8488,                0.77697,                0.84483,                0.84014,                0.33452,                0.54507,                 3.3269,                0.22517,                0.51551,                0.87579,              0.0008516,              0.0008516,              0.0008516
                     89,                0.50268,                 2.5927,                0.21699,                0.40829,                0.97225,                0.85368,                0.90542,                0.95527,                 0.8429,                0.78738,                0.84483,                0.85606,                0.36419,                0.56269,                   3.28,                0.20356,                0.49285,                0.88186,              0.0008384,              0.0008384,              0.0008384
                     90,                 0.4913,                 2.4301,                0.23239,                0.41094,                0.96263,                0.85316,                0.87931,                0.91622,                0.81634,                0.76107,                0.84483,                0.80035,                0.33532,                0.53871,                 3.3638,                0.26915,                0.56007,                0.87223,              0.0008252,              0.0008252,              0.0008252
                     91,                0.49969,                 2.3989,                0.22584,                0.41974,                0.95844,                0.77592,                0.95527,                0.94159,                0.83841,                0.69918,                0.87931,                0.83913,                0.35999,                0.54962,                 3.3124,                0.34453,                0.50308,                0.87324,               0.000812,               0.000812,               0.000812
                     92,                0.47578,                 2.4517,                0.22125,                0.40071,                0.94035,                0.82929,                 0.9214,                0.94944,                0.85185,                0.76722,                0.85244,                 0.8542,                0.32579,                0.52355,                 3.3655,                 0.2569,                0.48943,                0.85695,              0.0007988,              0.0007988,              0.0007988
                     93,                0.45747,                 2.4922,                0.22045,                0.38973,                0.93482,                0.80132,                0.97362,                0.95254,                 0.8525,                0.75893,                 0.9228,                0.86937,                0.31661,                0.53328,                 3.3724,                0.24707,                0.50169,                 0.8547,              0.0007856,              0.0007856,              0.0007856
                     94,                0.46608,                 2.4422,                0.21816,                0.38386,                0.95321,                0.94203,                0.84483,                0.94109,                 0.8498,                0.88409,                0.78913,                0.85782,                0.32738,                 0.5225,                 3.3699,                0.37447,                 0.5351,                0.86145,              0.0007724,              0.0007724,              0.0007724
                     95,                0.47874,                 2.5419,                0.22331,                0.39064,                0.95726,                0.91745,                0.84483,                0.94487,                0.84804,                0.85908,                 0.7931,                0.84975,                0.31965,                0.51744,                 3.4069,                0.31283,                0.56894,                0.86613,              0.0007592,              0.0007592,              0.0007592
                     96,                0.46294,                 2.7332,                0.23029,                0.39105,                0.93973,                0.83835,                0.93103,                0.94553,                0.86805,                0.79177,                0.87931,                0.85719,                0.33041,                0.47299,                 3.3548,                0.30806,                0.51652,                0.84639,               0.000746,               0.000746,               0.000746
                     97,                0.44629,                  2.324,                 0.2189,                0.37661,                0.93138,                  0.802,                0.97776,                0.95212,                0.87079,                0.75963,                0.92633,                0.86354,                0.33437,                0.46659,                 3.2854,                0.31989,                 0.4932,                0.83268,              0.0007328,              0.0007328,              0.0007328
