                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.66238,                 3.1729,                0.27711,                 0.5449,                 1.0228,                0.92627,                0.89535,                0.96824,                0.84629,                0.80598,                0.77907,                 0.7826,                0.27183,                0.56289,                 3.7149,                0.29619,                0.49066,                0.93578,              0.0014852,              0.0014852,              0.0014852
                     41,                0.65344,                 3.0257,                 0.2797,                 0.5176,                 1.0339,                0.90571,                0.89535,                0.96408,                0.86203,                0.72294,                0.81922,                0.76301,                 0.2264,                0.63591,                 3.8067,                0.21474,                0.57424,                0.94296,               0.001472,               0.001472,               0.001472
                     42,                0.67539,                 3.1335,                0.26026,                0.52909,                 1.0308,                 0.8881,                0.92284,                0.97369,                0.85813,                0.83222,                0.75581,                0.80923,                0.27603,                0.53021,                 3.7587,                0.37296,                0.49294,                0.89288,              0.0014588,              0.0014588,              0.0014588
                     43,                0.60272,                 2.8957,                0.26912,                0.49868,                 1.0088,                 0.9098,                 0.9186,                0.97489,                0.86084,                0.74126,                 0.7662,                0.75304,                0.25409,                0.59721,                 3.7599,                0.31193,                0.46292,                0.93406,              0.0014456,              0.0014456,              0.0014456
                     44,                0.63222,                 2.9886,                 0.2571,                0.48979,                 1.0184,                0.81559,                0.97713,                0.96148,                0.87244,                0.89605,                0.70164,                0.79828,                0.27765,                0.49045,                 3.7221,                0.36053,                0.44346,                 0.8746,              0.0014324,              0.0014324,              0.0014324
                     45,                0.66559,                 3.1152,                0.26645,                0.51735,                 1.0371,                0.87885,                0.95349,                0.96548,                0.85703,                0.85962,                0.66279,                0.73413,                0.25138,                0.53198,                 3.8058,                0.32276,                0.47778,                0.88711,              0.0014192,              0.0014192,              0.0014192
                     46,                0.64501,                 3.3241,                0.27456,                0.52528,                 1.0261,                0.88086,                0.90698,                0.95737,                0.84193,                0.78075,                0.80233,                0.81114,                0.26638,                0.52972,                 3.7325,                0.28474,                 0.4886,                0.90892,               0.001406,               0.001406,               0.001406
                     47,                0.61018,                 3.0263,                0.25481,                0.52805,                  0.999,                0.92409,                0.90698,                0.96423,                0.84456,                0.85142,                0.81395,                0.82586,                0.28833,                0.54262,                 3.6986,                0.41879,                0.48087,                0.90859,              0.0013928,              0.0013928,              0.0013928
                     48,                0.61176,                 2.9795,                0.26177,                0.49353,                 1.0171,                0.80892,                0.93023,                0.93864,                0.83573,                0.72005,                0.83742,                0.77848,                0.24762,                0.54213,                 3.7555,                0.43626,                 0.6161,                0.90146,              0.0013796,              0.0013796,              0.0013796
                     49,                0.61737,                 2.9543,                0.25699,                0.47887,                  1.001,                0.87729,                0.91444,                0.95907,                0.85375,                0.77134,                0.82374,                0.79422,                0.25275,                 0.5255,                 3.6603,                0.26529,                 0.4897,                0.91119,              0.0013664,              0.0013664,              0.0013664
                     50,                 0.6383,                 3.0779,                 0.2592,                 0.5027,                 1.0179,                0.87838,                 0.9186,                0.96227,                0.86184,                0.81616,                0.82595,                0.84845,                0.27906,                0.51601,                 3.6129,                 0.2872,                0.45932,                0.89702,              0.0013532,              0.0013532,              0.0013532
                     51,                0.60719,                  2.899,                0.25585,                0.49727,                 1.0099,                0.87995,                0.93757,                0.96302,                0.86042,                0.93042,                0.77745,                0.86979,                0.28208,                0.52194,                 3.6866,                0.20693,                0.46126,                0.88941,                0.00134,                0.00134,                0.00134
                     52,                0.59798,                  2.966,                0.25978,                0.48317,                0.99715,                0.84713,                0.90216,                0.95436,                  0.836,                0.93357,                0.72093,                0.84726,                0.26276,                0.53638,                 3.6766,                0.25289,                0.49219,                0.92602,              0.0013268,              0.0013268,              0.0013268
                     53,                0.59989,                 2.9095,                0.26518,                0.48244,                0.99741,                0.87202,                 0.9186,                0.96276,                0.85749,                0.81914,                 0.7907,                0.79676,                0.23006,                0.53702,                 3.7428,                0.21179,                0.47983,                0.90306,              0.0013136,              0.0013136,              0.0013136
                     54,                 0.6077,                 2.9819,                0.25971,                0.49628,                0.99915,                0.92519,                0.86285,                0.96119,                 0.8667,                0.84637,                0.76744,                0.81501,                0.25008,                0.53052,                 3.7438,                0.30623,                 0.4958,                0.89055,              0.0013004,              0.0013004,              0.0013004
                     55,                 0.5851,                 2.7725,                0.26264,                0.47091,                0.99534,                0.86708,                0.90698,                0.95808,                0.85208,                0.77393,                0.83721,                0.80873,                 0.2686,                0.54006,                 3.6256,                0.27222,                0.49338,                0.92007,              0.0012872,              0.0012872,              0.0012872
                     56,                0.63315,                 3.1724,                0.27346,                0.49798,                  1.025,                0.81983,                0.97674,                0.96222,                0.86377,                0.80582,                0.74419,                0.75151,                0.24554,                0.53657,                 3.7666,                0.51379,                0.47201,                0.93262,               0.001274,               0.001274,               0.001274
                     57,                0.64924,                  2.986,                0.25544,                0.51457,                 1.0275,                0.82214,                0.96752,                0.95306,                 0.8267,                 0.7554,                0.86188,                0.81886,                0.24048,                0.58937,                 3.7163,                0.30163,                0.49382,                0.95747,              0.0012608,              0.0012608,              0.0012608
